client_id,ndc,lottery_winner,book_date,cottage,arrival,departure,days,weeks,extra_days,persons,total_days_person,season,nights_w,dayprice_w,weekprice_w,nights_d,dayprice_d,painting_week,discount,discount_euro,early_booking_discount,cottage_total,extra_bed,cleaning,phone,internet,other_charges,final_total,date_deposit_25_perct,deposit_25_perct,date_rest,rest_75_perct,arrival_week_day,departure_week_day
91,0.0,0.0,2011-01-23,Casa Valorosa,2011-01-23,2011-01-24,1.0,0.0,0.0,3.0,3.0,low,0.0,0.0,0.0,1.0,75.0,0.0,0.0,0.0,0.0,75.0,0.0,60.0,0.0,0.0,0.0,135.0,2000-01-01,0.0,2011-01-23,135.0,6.0,0.0
92,0.0,0.0,2011-02-07,Casa Valorosa,2011-08-03,2011-08-17,14.0,0.0,0.0,5.0,70.0,high,14.0,103.57142857142857,725.0,0.0,0.0,0.0,0.0,0.0,0.0,1450.0,0.0,60.0,0.0,42.0,0.0,1510.0,2011-02-07,377.5,2011-07-04,1132.5,2.0,2.0
93,0.0,0.0,2011-02-15,Casa Basta,2011-10-20,2011-10-28,8.0,0.0,0.0,4.0,32.0,mid,7.0,113.85714285714286,797.0,1.0,121.0,0.0,0.0,44.0,0.0,874.0,0.0,60.0,6.45,0.0,0.0,934.0,2011-02-15,233.5,2011-09-09,700.5,3.0,4.0
70,0.0,0.0,2011-02-23,Casa Basta,2011-08-15,2011-08-22,7.0,0.0,0.0,8.0,56.0,high,7.0,138.28571428571428,968.0,0.0,0.0,0.0,0.0,0.0,0.0,968.0,0.0,60.0,0.0,21.0,0.0,1028.0,2011-02-23,257.0,2011-07-14,771.0,0.0,0.0
75,0.0,0.0,2011-04-08,Casarão Novo,2011-08-13,2011-08-28,15.0,0.0,0.0,5.0,75.0,high,14.0,161.0,1127.0,1.0,0.0,0.0,0.0,0.0,0.0,2254.0,0.0,60.0,0.0,0.0,0.0,2314.0,2011-04-08,578.5,2011-08-02,1735.0,5.0,6.0
94,0.0,0.0,2011-03-31,Casa Valorosa,2011-08-17,2011-08-28,11.0,0.0,0.0,4.0,44.0,high,7.0,103.57142857142857,725.0,4.0,117.0,0.0,0.0,0.0,0.0,1193.0,0.0,60.0,0.0,0.0,0.0,1253.0,2011-03-31,313.25,2011-07-27,939.75,2.0,6.0
95,0.0,0.0,2011-03-16,Casa Basta,2011-08-22,2011-08-29,7.0,0.0,0.0,7.0,49.0,high,7.0,138.28571428571428,968.0,0.0,0.0,0.0,0.0,0.0,0.0,968.0,0.0,60.0,0.0,0.0,0.0,1028.0,2011-03-16,257.0,2011-07-21,771.0,0.0,0.0
96,0.0,0.0,2011-05-18,Casa Boa,2011-08-02,2011-08-09,7.0,0.0,0.0,6.0,42.0,high,7.0,103.57142857142857,725.0,0.0,0.0,0.0,0.0,0.0,0.0,725.0,0.0,60.0,0.0,21.0,0.0,785.0,2011-05-18,196.25,2011-07-06,588.75,1.0,1.0
97,0.0,0.0,2011-05-13,Casa Basta,2011-10-06,2011-10-13,7.0,0.0,0.0,5.0,35.0,mid,7.0,0.0,0.0,0.0,0.0,2393.0,0.0,0.0,0.0,2393.0,0.0,0.0,0.0,0.0,0.0,2393.0,2011-05-13,598.25,2011-09-01,1794.75,3.0,3.0
32,0.0,0.0,2011-05-30,Casa Basta,2011-09-27,2011-10-06,9.0,0.0,0.0,4.0,36.0,mid,7.0,113.85714285714286,797.0,2.0,121.0,0.0,0.0,259.75,0.0,779.25,0.0,60.0,0.0,0.0,0.0,839.25,2011-05-30,209.8125,2011-08-23,629.4375,1.0,3.0
